"","X","Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"503",503,510,"F-Zero","SNES",1990,"Racing","Nintendo",1.37,0.51,0.89,0.07,2.85
"985",985,1003,"FIFA Soccer 08","PS3",2007,"Sports","Electronic Arts",0.35,1.07,0.02,0.32,1.76
"1004",1004,1022,"Cruis'n USA","N64",1996,"Racing","Nintendo",1.69,0.04,0,0.01,1.74
"919",919,937,"Jak 3","PS2",2004,"Platform","Sony Computer Entertainment",1.33,0.49,0,0.03,1.85
"470",470,477,"Animal Crossing: Happy Home Designer","3DS",2015,"Simulation","Nintendo",0.47,1,1.39,0.12,2.98
"823",823,840,"Just Dance 3","X360",2011,"Misc","Ubisoft",1.47,0.4,0,0.16,2.03
"838",838,855,"Harry Potter and the Chamber of Secrets","GBA",2002,"Action","Electronic Arts",1.21,0.64,0.05,0.09,1.99
"903",903,921,"Star Fox Adventures","GC",2002,"Adventure","Nintendo",0.96,0.53,0.3,0.09,1.87
"1031",1031,1049,"Tetris Worlds","GBA",2001,"Puzzle","THQ",1.25,0.39,0,0.06,1.71
"183",183,185,"Super Mario Land 3: Wario Land","GB",1994,"Platform","Nintendo",2.49,0.98,1.57,0.15,5.19
"299",299,303,"Namco Museum: 50th Anniversary","PS2",2005,"Misc","Namco Bandai Games",2.08,1.35,0,0.54,3.98
"466",466,473,"Star Fox","SNES",1993,"Shooter","Nintendo",1.61,0.51,0.8,0.07,2.99
"908",908,926,"Madden NFL 06","XB",2005,"Sports","Electronic Arts",1.75,0.03,0,0.08,1.86
"995",995,1013,"Cooking Mama 3: Shop & Chop","DS",2009,"Simulation","505 Games",0.83,0.66,0.08,0.18,1.75
"456",456,462,"Saints Row 2","X360",2008,"Action","THQ",1.94,0.8,0.02,0.27,3.03
"324",324,328,"Just Dance 2014","Wii",2013,"Misc","Ubisoft",1.98,1.47,0,0.32,3.76
"510",510,517,"Madden NFL 10","X360",2009,"Sports","Electronic Arts",2.52,0.09,0,0.22,2.83
"948",948,966,"Madden NFL 07","X360",2006,"Sports","Electronic Arts",1.66,0,0.01,0.13,1.8
"288",288,292,"Forza Motorsport 2","X360",2007,"Racing","Microsoft Game Studios",2.35,1.28,0.03,0.41,4.06
"347",347,351,"Resident Evil 4","PS2",2005,"Action","Capcom",2.08,0.83,0.46,0.25,3.62
"971",971,989,"Metroid II: Return of Samus","GB",1991,"Adventure","Nintendo",0.85,0.31,0.56,0.04,1.76
"628",628,638,"Sonic Adventure","DC",1998,"Platform","Sega",1.26,0.61,0.46,0.08,2.42
"605",605,614,"Marvel: Ultimate Alliance","X360",2006,"Role-Playing","Activision",2.29,0.02,0,0.19,2.5
"733",733,748,"Yu-Gi-Oh: Duel Monsters 4","GB",2000,"Role-Playing","Konami Digital Entertainment",0,0,2.17,0.01,2.18
"223",223,225,"The Simpsons: Hit & Run","PS2",2003,"Racing","Vivendi Games",1.73,2.19,0,0.79,4.7
"732",732,747,"Hitman: Absolution","PS3",2012,"Action","Square Enix",0.59,1.07,0.07,0.45,2.19
"251",251,254,"Resistance: Fall of Man","PS3",2006,"Shooter","Sony Computer Entertainment",1.73,1.73,0.14,0.75,4.35
"502",502,509,"Mortal Kombat","PS3",2011,"Fighting","Warner Bros. Interactive Entertainment",1.98,0.55,0,0.32,2.85
"920",920,938,"Rayman Raving Rabbids 2","Wii",2007,"Misc","Ubisoft",0.83,0.82,0,0.2,1.85
"519",519,526,"Star Wars: The Force Unleashed","X360",2008,"Action","LucasArts",1.74,0.8,0,0.26,2.8
"449",449,455,"The Legend of Zelda: A Link Between Worlds","3DS",2013,"Action","Nintendo",1.4,0.99,0.46,0.22,3.07
"393",393,398,"WWF War Zone","PS",1998,"Fighting","Acclaim Entertainment",2.47,0.76,0,0.13,3.36
"998",998,1016,"Star Wars Episode I: The Phantom Menace","PS",1999,"Adventure","LucasArts",0.72,0.89,0.04,0.1,1.74
"660",660,673,"LEGO Harry Potter: Years 1-4","DS",2010,"Action","Warner Bros. Interactive Entertainment",1.07,1.05,0,0.23,2.35
"363",363,367,"FIFA Soccer 11","X360",2010,"Sports","Electronic Arts",0.71,2.4,0.02,0.4,3.53
"846",846,863,"Call of Duty: World at War","Wii",2008,"Shooter","Activision",1.2,0.59,0,0.19,1.97
"371",371,375,"Kung Fu","NES",1985,"Action","Nintendo",1.64,0.38,1.42,0.06,3.5
"883",883,901,"MX Unleashed","PS2",2004,"Racing","THQ",0.94,0.73,0,0.25,1.92
"923",923,941,"inFAMOUS 2","PS3",2011,"Action","Sony Computer Entertainment",1.05,0.49,0.08,0.23,1.85
"430",430,436,"Animal Crossing","GC",2001,"Simulation","Nintendo",1.92,0.16,0.99,0.09,3.15
